label,num_words,language,weight,type_relation,term_conceptnet,input_term,weight_normalized,label_lower
well,1,en,2.442949037536396,RelatedTo,/c/en/well,health,8.892176439312824,well
wellbeing,1,en,2.0,IsA,/c/en/wellbeing,health,7.38661714350238,wellbeing
condition,1,en,2.0,IsA,/c/en/condition,health,7.38661714350238,condition
good,1,en,1.983,RelatedTo,/c/en/good,health,7.328835083130087,good
well being,2,en,1.829,RelatedTo,/c/en/well_being,health,6.805397595051658,well
body,1,en,1.625,RelatedTo,/c/en/body,health,6.11201287058413,body
healthiness,1,en,1.0,Synonym,/c/en/healthiness,health,3.9876724157203793,healthiness
sanidad,1,es,1.0,Synonym,/c/es/sanidad,health,3.9876724157203793,sanidad
heartiness,1,en,1.0,Synonym,/c/en/heartiness,health,3.9876724157203793,heartiness
malfunction,1,en,1.0,RelatedTo,/c/en/malfunction,health,3.9876724157203793,malfunction
toast,1,en,1.0,RelatedTo,/c/en/toast,health,3.9876724157203793,toast
everyone,1,en,1.0,UsedFor,/c/en/everyone,health,3.9876724157203793,everyone
function,1,en,1.0,RelatedTo,/c/en/function,health,3.9876724157203793,function
mental,1,en,1.0,RelatedTo,/c/en/mental,health,3.9876724157203793,mental
video games,2,en,1.0,HasContext,/c/en/video_games,health,3.9876724157203793,video games
prosperity,1,en,1.0,RelatedTo,/c/en/prosperity,health,3.9876724157203793,prosperity
organism,1,en,1.0,RelatedTo,/c/en/organism,health,3.9876724157203793,organism
physical,1,en,1.0,RelatedTo,/c/en/physical,health,3.9876724157203793,physical
whole,1,en,1.0,DerivedFrom,/c/en/whole,health,3.9876724157203793,whole
heal,1,en,1.0,RelatedTo,/c/en/heal,health,3.9876724157203793,heal
salud,1,es,1.0,Synonym,/c/es/salud,health,3.9876724157203793,salud
social,1,en,1.0,RelatedTo,/c/en/social,health,3.9876724157203793,social
illness,1,en,1.0,DistinctFrom,/c/en/illness,health,3.9876724157203793,illness
state,1,en,1.0,RelatedTo,/c/en/state,health,3.9876724157203793,state
disease,1,en,1.0,RelatedTo,/c/en/disease,health,3.9876724157203793,disease
sickness,1,en,1.0,DistinctFrom,/c/en/sickness,health,3.9876724157203793,sickness
robustness,1,en,1.0,Synonym,/c/en/robustness,health,3.9876724157203793,robustness
important,1,en,1.0,HasProperty,/c/en/important,health,3.9876724157203793,important
psychological,1,en,1.0,RelatedTo,/c/en/psychological,health,3.9876724157203793,psychological
wellness,1,en,1.0,RelatedTo,/c/en/wellness,health,3.9876724157203793,wellness
balance,1,en,1.0,RelatedTo,/c/en/balance,health,3.9876724157203793,balance
sick,1,en,0.971,DistinctFrom,/c/en/sick,health,3.889103018614701,sick
medical,1,en,0.722,RelatedTo,/c/en/medical,health,3.042765781396983,medical
feeling good,2,en,0.657,RelatedTo,/c/en/feeling_good,health,2.8218343740911527,feeling good
feeling,1,en,0.657,RelatedTo,/c/en/feeling,health,2.8218343740911527,feeling
fitness,1,en,0.5379999999999998,RelatedTo,/c/en/fitness,health,2.4173599514850936,fitness
being well,2,en,0.5329999999999999,RelatedTo,/c/en/being_well,health,2.4003652278461844,well
status,1,en,0.5270000000000001,RelatedTo,/c/en/status,health,2.3799715594794932,status
health,1,en,0.5,Synonym,/c/en/health,health,2.288200051829379,health
ill,1,en,0.387,DistinctFrom,/c/en/ill,health,1.9041192975900123,ill
fat,1,en,0.173,Antonym,/c/en/fat,health,1.176745125844664,fat
sickly,1,en,0.141,Antonym,/c/en/sickly,health,1.0679788945556399,sickly
death,1,en,0.121,Antonym,/c/en/death,health,1.0,death
natural virtue,2,en,2.0,IsA,/c/en/natural_virtue,justice,9.0,natural virtue
court,1,en,2.0,RelatedTo,/c/en/court,justice,9.0,court
Department of Justice,3,en,2.0,Synonym,/c/en/department_of_justice,justice,9.0,department justice
judgment,1,en,2.0,IsA,/c/en/judgment,justice,9.0,judgment
judge,1,en,2.0,Synonym,/c/en/judge,justice,9.0,judge
righteousness,1,en,2.0,IsA,/c/en/righteousness,justice,9.0,righteousness
